split,threshold,acc,precision,recall,specificity,f1,auc,TN,FP,FN,TP,N,N_pos,N_neg,ms_mean,ms_p50,ms_p90,ms_min,ms_max
VAL,0.65,0.9090909090909091,0.875,1.0,0.75,0.9333333333333333,0.9821428571428572,6,2,0,14,22,14,8,6681.572727272727,6572.71,8312.427000000001,3084.15,12033.55
TEST,0.65,0.8671328671328671,0.8921568627450981,0.9191919191919192,0.75,0.9054726368159205,0.9412304866850322,33,11,8,91,143,99,44,3558.2286013986013,1601.94,7984.761999999999,189.74,14306.56
