split,threshold,acc,precision,recall,specificity,f1,auc,TN,FP,FN,TP,N,N_pos,N_neg,ms_mean,ms_p50,ms_p90,ms_min,ms_max
VAL,0.65,0.4090909090909091,1.0,0.07142857142857142,1.0,0.13333333333333333,0.2857142857142857,8,0,13,1,22,14,8,7117.259999999998,6919.59,9271.493,2829.68,11772.08
TEST,0.65,0.34965034965034963,1.0,0.06060606060606061,1.0,0.1142857142857143,0.5647382920110193,44,0,93,6,143,99,44,6259.103986013985,2804.02,15326.402,391.06,27706.2
